candidate_id,score_metric,score,active_ctx,negative_weight,image_alpha,adapter_dim,lora_rank,reference_module,text_module,fused_module
8,Recall@10,0.508,2,0.8,0.5,64,4,adapter,both,both
120,Recall@10,0.508,12,0.5,0.5,64,16,adapter,adapter,adapter
102,Recall@10,0.508,12,0.65,0.5,64,16,both,none,both
73,Recall@10,0.502,4,0.5,0.35,64,4,adapter,adapter,both
140,Recall@10,0.5,8,0.5,0.5,64,4,none,adapter,adapter
141,Recall@10,0.498,4,0.65,0.5,64,0,lora,adapter,adapter
106,Recall@10,0.496,2,0.5,0.65,64,16,both,none,adapter
57,Recall@10,0.494,8,0.5,0.5,128,8,adapter,adapter,adapter
137,Recall@10,0.492,12,0.65,0.35,128,8,adapter,both,both
46,Recall@10,0.49,4,0.8,0.35,32,0,both,adapter,adapter
97,Recall@10,0.49,4,0.65,0.35,64,4,adapter,lora,adapter
13,Recall@10,0.488,2,0.5,0.5,128,4,both,none,both
82,Recall@10,0.484,8,0.8,0.65,64,0,adapter,none,adapter
127,Recall@10,0.482,4,0.8,0.5,64,8,adapter,none,none
91,Recall@10,0.48,12,0.5,0.35,32,16,none,none,adapter
29,Recall@10,0.48,12,0.5,0.5,32,0,both,lora,both
56,Recall@10,0.478,12,0.8,0.5,64,16,adapter,none,lora
49,Recall@10,0.478,2,0.65,0.5,64,8,none,none,both
20,Recall@10,0.478,4,0.8,0.5,128,8,both,lora,both
75,Recall@10,0.478,4,0.65,0.35,64,0,lora,both,both
50,Recall@10,0.474,8,0.8,0.65,32,32,none,both,adapter
124,Recall@10,0.468,12,0.65,0.5,32,16,none,adapter,both
58,Recall@10,0.468,2,0.5,0.5,32,32,none,both,both
118,Recall@10,0.458,8,0.5,0.35,32,0,none,both,adapter
88,Recall@10,0.458,4,0.65,0.35,128,32,adapter,lora,none
2,Recall@10,0.456,12,0.5,0.8,64,8,none,adapter,both
53,Recall@10,0.456,12,0.65,0.8,128,8,adapter,adapter,both
71,Recall@10,0.456,12,0.65,0.65,32,8,both,lora,none
105,Recall@10,0.452,8,0.65,0.35,32,32,none,both,both
103,Recall@10,0.452,8,0.65,0.65,16,0,adapter,lora,both
44,Recall@10,0.45,8,0.8,0.8,64,4,adapter,adapter,adapter
